500 62398
0 1 10
0 2 7
0 4 9
0 5 8
0 6 19
0 8 12
0 10 19
0 13 6
0 14 10
0 15 12
0 16 16
0 17 3
0 18 6
0 20 9
0 21 16
0 24 14
0 25 16
0 27 11
0 28 13
0 29 18
0 30 13
0 32 1
0 35 9
0 36 18
0 41 17
0 45 1
0 48 4
0 51 11
0 53 17
0 56 14
0 59 9
0 62 13
0 63 15
0 64 15
0 66 6
0 70 14
0 71 17
0 72 19
0 73 5
0 74 13
0 75 3
0 76 6
0 78 8
0 80 12
0 83 19
0 84 11
0 85 10
0 86 3
0 87 10
0 89 12
0 90 14
0 91 6
0 94 10
0 95 8
0 96 18
0 97 18
0 98 12
0 100 2
0 104 1
0 105 19
0 113 9
0 114 15
0 115 19
0 119 12
0 120 12
0 123 6
0 124 18
0 126 1
0 127 15
0 130 16
0 132 2
0 133 2
0 134 18
0 135 1
0 143 20
0 144 18
0 145 1
0 146 15
0 147 8
0 148 13
0 149 14
0 151 15
0 152 14
0 153 10
0 155 1
0 157 12
0 158 12
0 162 1
0 163 17
0 168 15
0 169 20
0 170 9
0 171 5
0 172 13
0 175 17
0 176 8
0 177 18
0 180 8
0 187 10
0 192 9
0 197 13
0 198 12
0 199 13
0 201 17
0 203 6
0 205 2
0 206 17
0 207 5
0 209 6
0 210 14
0 211 17
0 212 17
0 215 12
0 216 10
0 218 18
0 222 7
0 223 1
0 225 14
0 226 20
0 227 15
0 228 14
0 230 3
0 231 13
0 232 16
0 234 6
0 235 14
0 236 3
0 239 3
0 240 10
0 242 4
0 243 20
0 248 20
0 255 18
0 257 7
0 259 8
0 261 18
0 263 18
0 266 15
0 267 6
0 270 14
0 271 17
0 272 16
0 273 18
0 274 13
0 275 18
0 277 1
0 278 9
0 279 10
0 280 5
0 281 8
0 282 20
0 283 5
0 284 15
0 285 7
0 287 11
0 290 1
0 291 3
0 294 13
0 295 10
0 297 16
0 302 1
0 304 19
0 305 19
0 307 17
0 310 7
0 313 3
0 316 1
0 317 15
0 318 13
0 321 4
0 326 16
0 328 6
0 329 1
0 331 2
0 332 4
0 333 6
0 334 5
0 336 14
0 338 3
0 340 15
0 341 2
0 346 1
0 348 17
0 349 11
0 352 1
0 354 18
0 355 17
0 357 10
0 359 4
0 360 7
0 362 14
0 363 3
0 366 6
0 367 9
0 369 18
0 372 8
0 374 14
0 375 14
0 376 9
0 377 11
0 378 17
0 379 2
0 381 4
0 382 3
0 385 7
0 386 12
0 389 6
0 391 17
0 394 12
0 397 6
0 398 11
0 401 9
0 404 5
0 405 3
0 406 13
0 407 2
0 410 14
0 411 6
0 413 3
0 414 3
0 415 19
0 418 18
0 419 16
0 421 5
0 422 11
0 432 9
0 433 18
0 434 20
0 435 11
0 436 1
0 437 7
0 440 3
0 441 14
0 443 17
0 444 14
0 446 14
0 447 11
0 449 18
0 451 12
0 453 14
0 454 12
0 455 11
0 456 14
0 459 16
0 460 13
0 461 15
0 462 13
0 463 4
0 467 11
0 468 11
0 471 8
0 473 13
0 474 5
0 476 16
0 477 6
0 481 2
0 483 10
0 485 10
0 486 7
0 487 19
0 488 4
0 490 12
0 491 11
0 492 18
0 493 17
0 496 13
0 498 9
1 2 7
1 4 7
1 9 10
1 10 9
1 11 18
1 14 15
1 15 12
1 21 10
1 23 12
1 25 17
1 27 1
1 28 5
1 29 11
1 32 17
1 33 14
1 41 14
1 43 1
1 44 9
1 45 3
1 47 11
1 48 11
1 49 8
1 50 16
1 51 2
1 53 13
1 54 4
1 57 13
1 59 13
1 60 18
1 61 8
1 64 12
